model_short_name,answer_policy,render_mode,n,final_accuracy,supported_accuracy,supported_injection_failure_rate,unsupported_abstention_rate,unsupported_hallucination_rate,overrefusal_rate,distractor_rate,invalid_rate,parse_ok_rate
DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,660.0,0.697,0.95,0.0625,0.4861,0.5139,0.0,0.1727,0.0,1.0
DeepSeek-R1-Distill-Qwen-32B,direct_answer,sanitized,660.0,0.8015,1.0,0.0,0.6361,0.3639,0.0,0.0955,0.0,1.0
DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,raw,660.0,0.7167,0.9233,0.0958,0.5444,0.4556,0.0,0.15,0.0,1.0
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,sanitized,660.0,0.8136,0.9967,0.0042,0.6611,0.3389,0.0,0.0803,0.0,1.0
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Gemma-2-27B-it,direct_answer,raw,660.0,0.6682,0.7467,0.3083,0.6028,0.3972,0.0933,0.1803,0.0,1.0
Gemma-2-27B-it,direct_answer,sanitized,660.0,0.8061,0.94,0.0667,0.6944,0.3056,0.0,0.1152,0.0,1.0
Gemma-2-27B-it,direct_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Gemma-2-27B-it,quarantined_answer,raw,660.0,0.7,0.8233,0.2167,0.5972,0.4028,0.1367,0.1242,0.0,1.0
Gemma-2-27B-it,quarantined_answer,sanitized,660.0,0.7682,0.9733,0.0292,0.5972,0.4028,0.0,0.1303,0.0,1.0
Gemma-2-27B-it,quarantined_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Mistral-Nemo-12B,direct_answer,raw,660.0,0.5515,0.59,0.5125,0.5194,0.4722,0.2333,0.1576,0.0288,0.9712
Mistral-Nemo-12B,direct_answer,sanitized,660.0,0.8773,0.9833,0.0208,0.7889,0.2083,0.0,0.0197,0.0015,0.9985
Mistral-Nemo-12B,direct_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Mistral-Nemo-12B,quarantined_answer,raw,660.0,0.3727,0.66,0.425,0.1333,0.6833,0.09,0.2364,0.1773,0.8227
Mistral-Nemo-12B,quarantined_answer,sanitized,660.0,0.6364,1.0,0.0,0.3333,0.2833,0.0,0.0636,0.2091,0.7909
Mistral-Nemo-12B,quarantined_answer,fact_only,660.0,0.9909,1.0,0.0,0.9833,0.0,0.0,0.0,0.0091,0.9909
Mistral-Small-24B,direct_answer,raw,660.0,0.9212,1.0,0.0,0.8556,0.1444,0.0,0.0121,0.0,1.0
Mistral-Small-24B,direct_answer,sanitized,660.0,0.8758,1.0,0.0,0.7722,0.2278,0.0,0.05,0.0,1.0
Mistral-Small-24B,direct_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Mistral-Small-24B,quarantined_answer,raw,660.0,0.9879,1.0,0.0,0.9778,0.0222,0.0,0.003,0.0,1.0
Mistral-Small-24B,quarantined_answer,sanitized,660.0,0.953,1.0,0.0,0.9139,0.0861,0.0,0.0197,0.0,1.0
Mistral-Small-24B,quarantined_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-14B,direct_answer,raw,660.0,0.8924,0.7867,0.2667,0.9806,0.0194,0.21,0.0015,0.0,1.0
Qwen2.5-14B,direct_answer,sanitized,660.0,0.9879,1.0,0.0,0.9778,0.0222,0.0,0.0,0.0,1.0
Qwen2.5-14B,direct_answer,fact_only,660.0,0.9318,0.85,0.15,1.0,0.0,0.15,0.0,0.0,1.0
Qwen2.5-14B,quarantined_answer,raw,660.0,0.9303,0.87,0.1625,0.9806,0.0194,0.0433,0.0394,0.0,1.0
Qwen2.5-14B,quarantined_answer,sanitized,660.0,0.9652,1.0,0.0,0.9361,0.0639,0.0,0.0,0.0,1.0
Qwen2.5-14B,quarantined_answer,fact_only,660.0,0.8864,0.75,0.25,1.0,0.0,0.25,0.0,0.0,1.0
Qwen2.5-32B,direct_answer,raw,660.0,0.8136,0.8033,0.2458,0.8222,0.1778,0.08,0.0576,0.0,1.0
Qwen2.5-32B,direct_answer,sanitized,660.0,0.9061,1.0,0.0,0.8278,0.1722,0.0,0.0,0.0,1.0
Qwen2.5-32B,direct_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-32B,quarantined_answer,raw,660.0,0.8697,0.7933,0.2583,0.9333,0.0667,0.1667,0.0182,0.0,1.0
Qwen2.5-32B,quarantined_answer,sanitized,660.0,0.9121,1.0,0.0,0.8389,0.1611,0.0,0.0,0.0,1.0
Qwen2.5-32B,quarantined_answer,fact_only,660.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-7B,direct_answer,raw,660.0,0.6818,0.7867,0.25,0.5944,0.4056,0.0967,0.1242,0.0,1.0
Qwen2.5-7B,direct_answer,sanitized,660.0,0.7894,0.92,0.0833,0.6806,0.3194,0.0,0.1197,0.0,1.0
Qwen2.5-7B,direct_answer,fact_only,660.0,0.9924,0.9833,0.0167,1.0,0.0,0.0,0.0076,0.0,1.0
