model_short_name,answer_policy,render_mode,distractor_rate,final_accuracy,invalid_rate,overrefusal_rate,parse_ok_rate,supported_accuracy,supported_injection_failure_rate,unsupported_abstention_rate,unsupported_hallucination_rate
DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,"0.1727 [0.1458, 0.2034]","0.6970 [0.6609, 0.7308]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9500 [0.9192, 0.9695]","0.0625 [0.0382, 0.1005]","0.4861 [0.4349, 0.5376]","0.5139 [0.4624, 0.5651]"
DeepSeek-R1-Distill-Qwen-32B,direct_answer,sanitized,"0.0955 [0.0753, 0.1203]","0.8015 [0.7694, 0.8302]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.6361 [0.5852, 0.6841]","0.3639 [0.3159, 0.4148]"
DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,raw,"0.1500 [0.1248, 0.1793]","0.7167 [0.6811, 0.7497]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9233 [0.8876, 0.9484]","0.0958 [0.0647, 0.1397]","0.5444 [0.4928, 0.5952]","0.4556 [0.4048, 0.5072]"
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,sanitized,"0.0803 [0.0619, 0.1035]","0.8136 [0.7821, 0.8415]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9967 [0.9814, 0.9994]","0.0042 [0.0007, 0.0232]","0.6611 [0.6107, 0.7081]","0.3389 [0.2919, 0.3893]"
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Gemma-2-27B-it,direct_answer,raw,"0.1803 [0.1529, 0.2115]","0.6682 [0.6314, 0.7030]","0.0000 [0.0000, 0.0058]","0.0933 [0.0654, 0.1316]","1.0000 [0.9942, 1.0000]","0.7467 [0.6945, 0.7926]","0.3083 [0.2533, 0.3694]","0.6028 [0.5514, 0.6520]","0.3972 [0.3480, 0.4486]"
Gemma-2-27B-it,direct_answer,sanitized,"0.1152 [0.0930, 0.1418]","0.8061 [0.7742, 0.8344]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9400 [0.9072, 0.9617]","0.0667 [0.0414, 0.1055]","0.6944 [0.6450, 0.7398]","0.3056 [0.2602, 0.3550]"
Gemma-2-27B-it,direct_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Gemma-2-27B-it,quarantined_answer,raw,"0.1242 [0.1012, 0.1516]","0.7000 [0.6640, 0.7337]","0.0000 [0.0000, 0.0058]","0.1367 [0.1024, 0.1802]","1.0000 [0.9942, 1.0000]","0.8233 [0.7762, 0.8623]","0.2167 [0.1692, 0.2730]","0.5972 [0.5458, 0.6466]","0.4028 [0.3534, 0.4542]"
