model_short_name,answer_policy,comparison,start_render,end_render,final_accuracy_start,final_accuracy_end,final_accuracy_delta,supported_accuracy_start,supported_accuracy_end,supported_accuracy_delta,supported_injection_failure_rate_start,supported_injection_failure_rate_end,supported_injection_failure_rate_delta,unsupported_abstention_rate_start,unsupported_abstention_rate_end,unsupported_abstention_rate_delta,unsupported_hallucination_rate_start,unsupported_hallucination_rate_end,unsupported_hallucination_rate_delta,overrefusal_rate_start,overrefusal_rate_end,overrefusal_rate_delta,distractor_rate_start,distractor_rate_end,distractor_rate_delta,invalid_rate_start,invalid_rate_end,invalid_rate_delta,parse_ok_rate_start,parse_ok_rate_end,parse_ok_rate_delta
DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw_to_sanitized,raw,sanitized,0.697,0.8015,0.1045,0.95,1.0,0.05,0.0625,0.0,-0.0625,0.4861,0.6361,0.15,0.5139,0.3639,-0.15,0.0,0.0,0.0,0.1727,0.0955,-0.0773,0.0,0.0,0.0,1.0,1.0,0.0
DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw_to_fact_only,raw,fact_only,0.697,1.0,0.303,0.95,1.0,0.05,0.0625,0.0,-0.0625,0.4861,1.0,0.5139,0.5139,0.0,-0.5139,0.0,0.0,0.0,0.1727,0.0,-0.1727,0.0,0.0,0.0,1.0,1.0,0.0
DeepSeek-R1-Distill-Qwen-32B,direct_answer,sanitized_to_fact_only,sanitized,fact_only,0.8015,1.0,0.1985,1.0,1.0,0.0,0.0,0.0,0.0,0.6361,1.0,0.3639,0.3639,0.0,-0.3639,0.0,0.0,0.0,0.0955,0.0,-0.0955,0.0,0.0,0.0,1.0,1.0,0.0
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,raw_to_sanitized,raw,sanitized,0.7167,0.8136,0.097,0.9233,0.9967,0.0733,0.0958,0.0042,-0.0917,0.5444,0.6611,0.1167,0.4556,0.3389,-0.1167,0.0,0.0,0.0,0.15,0.0803,-0.0697,0.0,0.0,0.0,1.0,1.0,0.0
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,raw_to_fact_only,raw,fact_only,0.7167,1.0,0.2833,0.9233,1.0,0.0767,0.0958,0.0,-0.0958,0.5444,1.0,0.4556,0.4556,0.0,-0.4556,0.0,0.0,0.0,0.15,0.0,-0.15,0.0,0.0,0.0,1.0,1.0,0.0
DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,sanitized_to_fact_only,sanitized,fact_only,0.8136,1.0,0.1864,0.9967,1.0,0.0033,0.0042,0.0,-0.0042,0.6611,1.0,0.3389,0.3389,0.0,-0.3389,0.0,0.0,0.0,0.0803,0.0,-0.0803,0.0,0.0,0.0,1.0,1.0,0.0
Gemma-2-27B-it,direct_answer,raw_to_sanitized,raw,sanitized,0.6682,0.8061,0.1379,0.7467,0.94,0.1933,0.3083,0.0667,-0.2417,0.6028,0.6944,0.0917,0.3972,0.3056,-0.0917,0.0933,0.0,-0.0933,0.1803,0.1152,-0.0652,0.0,0.0,0.0,1.0,1.0,0.0
Gemma-2-27B-it,direct_answer,raw_to_fact_only,raw,fact_only,0.6682,1.0,0.3318,0.7467,1.0,0.2533,0.3083,0.0,-0.3083,0.6028,1.0,0.3972,0.3972,0.0,-0.3972,0.0933,0.0,-0.0933,0.1803,0.0,-0.1803,0.0,0.0,0.0,1.0,1.0,0.0
Gemma-2-27B-it,direct_answer,sanitized_to_fact_only,sanitized,fact_only,0.8061,1.0,0.1939,0.94,1.0,0.06,0.0667,0.0,-0.0667,0.6944,1.0,0.3056,0.3056,0.0,-0.3056,0.0,0.0,0.0,0.1152,0.0,-0.1152,0.0,0.0,0.0,1.0,1.0,0.0
Gemma-2-27B-it,quarantined_answer,raw_to_sanitized,raw,sanitized,0.7,0.7682,0.0682,0.8233,0.9733,0.15,0.2167,0.0292,-0.1875,0.5972,0.5972,0.0,0.4028,0.4028,0.0,0.1367,0.0,-0.1367,0.1242,0.1303,0.0061,0.0,0.0,0.0,1.0,1.0,0.0
Gemma-2-27B-it,quarantined_answer,raw_to_fact_only,raw,fact_only,0.7,1.0,0.3,0.8233,1.0,0.1767,0.2167,0.0,-0.2167,0.5972,1.0,0.4028,0.4028,0.0,-0.4028,0.1367,0.0,-0.1367,0.1242,0.0,-0.1242,0.0,0.0,0.0,1.0,1.0,0.0
Gemma-2-27B-it,quarantined_answer,sanitized_to_fact_only,sanitized,fact_only,0.7682,1.0,0.2318,0.9733,1.0,0.0267,0.0292,0.0,-0.0292,0.5972,1.0,0.4028,0.4028,0.0,-0.4028,0.0,0.0,0.0,0.1303,0.0,-0.1303,0.0,0.0,0.0,1.0,1.0,0.0
Mistral-Nemo-12B,direct_answer,raw_to_sanitized,raw,sanitized,0.5515,0.8773,0.3258,0.59,0.9833,0.3933,0.5125,0.0208,-0.4917,0.5194,0.7889,0.2694,0.4722,0.2083,-0.2639,0.2333,0.0,-0.2333,0.1576,0.0197,-0.1379,0.0288,0.0015,-0.0273,0.9712,0.9985,0.0273
Mistral-Nemo-12B,direct_answer,raw_to_fact_only,raw,fact_only,0.5515,1.0,0.4485,0.59,1.0,0.41,0.5125,0.0,-0.5125,0.5194,1.0,0.4806,0.4722,0.0,-0.4722,0.2333,0.0,-0.2333,0.1576,0.0,-0.1576,0.0288,0.0,-0.0288,0.9712,1.0,0.0288
Mistral-Nemo-12B,direct_answer,sanitized_to_fact_only,sanitized,fact_only,0.8773,1.0,0.1227,0.9833,1.0,0.0167,0.0208,0.0,-0.0208,0.7889,1.0,0.2111,0.2083,0.0,-0.2083,0.0,0.0,0.0,0.0197,0.0,-0.0197,0.0015,0.0,-0.0015,0.9985,1.0,0.0015
Mistral-Nemo-12B,quarantined_answer,raw_to_sanitized,raw,sanitized,0.3727,0.6364,0.2636,0.66,1.0,0.34,0.425,0.0,-0.425,0.1333,0.3333,0.2,0.6833,0.2833,-0.4,0.09,0.0,-0.09,0.2364,0.0636,-0.1727,0.1773,0.2091,0.0318,0.8227,0.7909,-0.0318
Mistral-Nemo-12B,quarantined_answer,raw_to_fact_only,raw,fact_only,0.3727,0.9909,0.6182,0.66,1.0,0.34,0.425,0.0,-0.425,0.1333,0.9833,0.85,0.6833,0.0,-0.6833,0.09,0.0,-0.09,0.2364,0.0,-0.2364,0.1773,0.0091,-0.1682,0.8227,0.9909,0.1682
Mistral-Nemo-12B,quarantined_answer,sanitized_to_fact_only,sanitized,fact_only,0.6364,0.9909,0.3545,1.0,1.0,0.0,0.0,0.0,0.0,0.3333,0.9833,0.65,0.2833,0.0,-0.2833,0.0,0.0,0.0,0.0636,0.0,-0.0636,0.2091,0.0091,-0.2,0.7909,0.9909,0.2
Mistral-Small-24B,direct_answer,raw_to_sanitized,raw,sanitized,0.9212,0.8758,-0.0455,1.0,1.0,0.0,0.0,0.0,0.0,0.8556,0.7722,-0.0833,0.1444,0.2278,0.0833,0.0,0.0,0.0,0.0121,0.05,0.0379,0.0,0.0,0.0,1.0,1.0,0.0
Mistral-Small-24B,direct_answer,raw_to_fact_only,raw,fact_only,0.9212,1.0,0.0788,1.0,1.0,0.0,0.0,0.0,0.0,0.8556,1.0,0.1444,0.1444,0.0,-0.1444,0.0,0.0,0.0,0.0121,0.0,-0.0121,0.0,0.0,0.0,1.0,1.0,0.0
Mistral-Small-24B,direct_answer,sanitized_to_fact_only,sanitized,fact_only,0.8758,1.0,0.1242,1.0,1.0,0.0,0.0,0.0,0.0,0.7722,1.0,0.2278,0.2278,0.0,-0.2278,0.0,0.0,0.0,0.05,0.0,-0.05,0.0,0.0,0.0,1.0,1.0,0.0
Mistral-Small-24B,quarantined_answer,raw_to_sanitized,raw,sanitized,0.9879,0.953,-0.0348,1.0,1.0,0.0,0.0,0.0,0.0,0.9778,0.9139,-0.0639,0.0222,0.0861,0.0639,0.0,0.0,0.0,0.003,0.0197,0.0167,0.0,0.0,0.0,1.0,1.0,0.0
Mistral-Small-24B,quarantined_answer,raw_to_fact_only,raw,fact_only,0.9879,1.0,0.0121,1.0,1.0,0.0,0.0,0.0,0.0,0.9778,1.0,0.0222,0.0222,0.0,-0.0222,0.0,0.0,0.0,0.003,0.0,-0.003,0.0,0.0,0.0,1.0,1.0,0.0
Mistral-Small-24B,quarantined_answer,sanitized_to_fact_only,sanitized,fact_only,0.953,1.0,0.047,1.0,1.0,0.0,0.0,0.0,0.0,0.9139,1.0,0.0861,0.0861,0.0,-0.0861,0.0,0.0,0.0,0.0197,0.0,-0.0197,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-14B,direct_answer,raw_to_sanitized,raw,sanitized,0.8924,0.9879,0.0955,0.7867,1.0,0.2133,0.2667,0.0,-0.2667,0.9806,0.9778,-0.0028,0.0194,0.0222,0.0028,0.21,0.0,-0.21,0.0015,0.0,-0.0015,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-14B,direct_answer,raw_to_fact_only,raw,fact_only,0.8924,0.9318,0.0394,0.7867,0.85,0.0633,0.2667,0.15,-0.1167,0.9806,1.0,0.0194,0.0194,0.0,-0.0194,0.21,0.15,-0.06,0.0015,0.0,-0.0015,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-14B,direct_answer,sanitized_to_fact_only,sanitized,fact_only,0.9879,0.9318,-0.0561,1.0,0.85,-0.15,0.0,0.15,0.15,0.9778,1.0,0.0222,0.0222,0.0,-0.0222,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-14B,quarantined_answer,raw_to_sanitized,raw,sanitized,0.9303,0.9652,0.0348,0.87,1.0,0.13,0.1625,0.0,-0.1625,0.9806,0.9361,-0.0444,0.0194,0.0639,0.0444,0.0433,0.0,-0.0433,0.0394,0.0,-0.0394,0.0,0.0,0.0,1.0,1.0,0.0
