model_family,model_id,prompt_policy,n,ok_rate,semantic_accuracy,admissibility_accuracy,format_compliance_rate,answer_attempt_on_insufficient_rate,insufficient_like_rate,mean_latency_seconds,total_prompt_tokens,total_completion_tokens,total_tokens
anthropic_frontier,anthropic/claude-sonnet-4.6,explicit_source_boundary,120,1.0,1.0,1.0,1.0,0.0,0.75,2.0552662312984467,37405,5865,43270
anthropic_frontier,anthropic/claude-sonnet-4.6,mc_choices_not_evidence,120,1.0,0.8166666666666667,0.8166666666666667,0.9916666666666667,0.18333333333333332,0.7416666666666667,2.498562204837799,29935,8169,38104
anthropic_frontier,anthropic/claude-sonnet-4.6,open_ended_no_choices,120,1.0,0.8,0.8,0.75,0.2,0.75,2.198263581593831,25311,6832,32143
anthropic_frontier,anthropic/claude-sonnet-4.6,original_mc,120,1.0,0.25,0.25,0.0,0.75,0.0,1.3208767632643381,20088,872,20960
google_frontier,google/gemini-3.1-pro-preview,explicit_source_boundary,120,1.0,0.875,0.875,0.875,0.06666666666666667,0.6833333333333333,3.4804187496503194,35049,17893,52942
google_frontier,google/gemini-3.1-pro-preview,mc_choices_not_evidence,120,1.0,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.18333333333333332,0.5666666666666667,3.641847866773605,28268,19018,47286
google_frontier,google/gemini-3.1-pro-preview,open_ended_no_choices,120,1.0,0.5916666666666667,0.5916666666666667,0.475,0.2916666666666667,0.4583333333333333,3.75115510225296,23700,21073,44773
google_frontier,google/gemini-3.1-pro-preview,original_mc,120,1.0,0.225,0.225,0.7416666666666667,0.75,0.0,3.8516587098439534,18857,20711,39568
openai_frontier,openai/gpt-5.1,explicit_source_boundary,120,1.0,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.0,0.75,0.9615128934383392,32487,1817,34304
openai_frontier,openai/gpt-5.1,mc_choices_not_evidence,120,1.0,0.95,0.95,0.9916666666666667,0.041666666666666664,0.7083333333333334,0.9715720097223918,26090,1802,27892
openai_frontier,openai/gpt-5.1,open_ended_no_choices,120,1.0,0.8583333333333333,0.8583333333333333,0.625,0.125,0.625,1.0273895223935445,21511,1993,23504
openai_frontier,openai/gpt-5.1,original_mc,120,1.0,0.25,0.25,0.0,0.75,0.0,0.9560602744420369,17064,1658,18722
