model_family,prompt_policy,audit_category,n,scorer_admissibility_accuracy,independent_admissibility_accuracy,disagreement_rate,answer_attempt_rate,independent_answer_attempt_rate
anthropic_frontier,full_boundary_wrapper,clear_success,345,1.0,1.0,0.0,0.0,0.0
anthropic_frontier,full_boundary_wrapper,mixed_insufficient_plus_answer,15,0.0,0.26666666666666666,0.26666666666666666,1.0,0.7333333333333333
anthropic_frontier,insufficient_channel_admissibility_rule,clear_answer_attempt_failure,1,0.0,0.0,0.0,1.0,1.0
anthropic_frontier,insufficient_channel_admissibility_rule,clear_success,268,1.0,1.0,0.0,0.0,0.0
anthropic_frontier,insufficient_channel_admissibility_rule,mixed_insufficient_plus_answer,90,0.0,0.17777777777777778,0.17777777777777778,1.0,0.8222222222222222
anthropic_frontier,insufficient_channel_admissibility_rule,scorer_disagreement,1,0.0,1.0,1.0,1.0,0.0
anthropic_frontier,insufficient_channel_choices_not_evidence,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
anthropic_frontier,insufficient_channel_only,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
anthropic_frontier,original_mc,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
google_frontier,full_boundary_wrapper,clear_answer_attempt_failure,18,0.0,0.0,0.0,1.0,1.0
google_frontier,full_boundary_wrapper,clear_success,342,1.0,1.0,0.0,0.0,0.0
google_frontier,insufficient_channel_admissibility_rule,clear_answer_attempt_failure,87,0.0,0.0,0.0,1.0,1.0
google_frontier,insufficient_channel_admissibility_rule,clear_success,272,1.0,1.0,0.0,0.0,0.0
google_frontier,insufficient_channel_admissibility_rule,ordinary,1,0.0,0.0,0.0,0.0,0.0
google_frontier,insufficient_channel_choices_not_evidence,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
google_frontier,insufficient_channel_only,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
google_frontier,original_mc,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
openai_frontier,full_boundary_wrapper,clear_success,360,1.0,1.0,0.0,0.0,0.0
openai_frontier,insufficient_channel_admissibility_rule,clear_answer_attempt_failure,43,0.0,0.0,0.0,1.0,1.0
openai_frontier,insufficient_channel_admissibility_rule,clear_success,317,1.0,1.0,0.0,0.0,0.0
openai_frontier,insufficient_channel_choices_not_evidence,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
openai_frontier,insufficient_channel_only,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
openai_frontier,original_mc,clear_answer_attempt_failure,360,0.0,0.0,0.0,1.0,1.0
