model_family,model_id,prompt_policy,trial_id,case_id,family,scenario_type,expected_final,final_token,correct_answer,distractor_answer,has_correct_answer_text,has_distractor_answer_text,insufficient_like,admissibility_correct,answer_attempt_on_insufficient,independent_insufficient_like,independent_answer_attempt,independent_admissibility_correct,scorer_disagreement_flag,audit_category,question,output_text
openai_frontier,openai/gpt-5.1,original_mc,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,,convert automatically after 7 days,expire without conversion,True,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",convert automatically after 7 days
anthropic_frontier,anthropic/claude-sonnet-4.6,original_mc,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,,convert automatically after 7 days,expire without conversion,True,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",convert automatically after 7 days
google_frontier,google/gemini-3.1-pro-preview,original_mc,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,B,convert automatically after 7 days,expire without conversion,False,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",Choice B
openai_frontier,openai/gpt-5.1,insufficient_channel_only,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,B,convert automatically after 7 days,expire without conversion,False,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",FINAL: B
anthropic_frontier,anthropic/claude-sonnet-4.6,insufficient_channel_only,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,B,convert automatically after 7 days,expire without conversion,False,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",FINAL: B
google_frontier,google/gemini-3.1-pro-preview,insufficient_channel_only,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,B,convert automatically after 7 days,expire without conversion,False,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",FINAL: B
openai_frontier,openai/gpt-5.1,insufficient_channel_choices_not_evidence,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,B,convert automatically after 7 days,expire without conversion,False,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",FINAL: B
anthropic_frontier,anthropic/claude-sonnet-4.6,insufficient_channel_choices_not_evidence,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,B,convert automatically after 7 days,expire without conversion,False,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",FINAL: B
google_frontier,google/gemini-3.1-pro-preview,insufficient_channel_choices_not_evidence,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,B,convert automatically after 7 days,expire without conversion,False,False,False,False,True,False,True,False,False,clear_answer_attempt_failure,"According to the CURRENT POLICY, what is true for trial plans?",FINAL: B
openai_frontier,openai/gpt-5.1,insufficient_channel_admissibility_rule,u001_policy_0_unsupported_contaminant_only,policy_0,current_vs_archived_policy,unsupported_contaminant_only,INSUFFICIENT,INSUFFICIENT,convert automatically after 7 days,expire without conversion,False,False,True,True,False,True,False,True,False,clear_success,"According to the CURRENT POLICY, what is true for trial plans?",FINAL: INSUFFICIENT
