run_name,timestamp_utc,model_family,model_id,ablation_trial_id,trial_id,prompt_policy,case_id,family,scenario_type,render_mode,selected_source_id,is_supported,expected_final,choice_A,choice_B,correct_answer,distractor_answer,question,prompt_sha256,ok,status_code,attempts,latency_seconds,output_text,error,usage,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,final_token,insufficient_like,has_correct_answer_text,has_distractor_answer_text,format_compliant,semantic_correct,admissibility_correct,answer_attempt_on_insufficient
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:53:58.038744+00:00,openai_frontier,openai/gpt-5.1,t001_memory_0_supported_clean_selected_source__original_mc,t001_memory_0_supported_clean_selected_source,original_mc,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",88ac13a71eb9a35cb1ea88f7ede781d198508f658c6ebd462d1cd79d872615b5,True,200,1,1.0874321460723877,morning meetings,,"{'prompt_tokens': 136, 'completion_tokens': 13, 'total_tokens': 149, 'cost': 0.0003, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0003, 'upstream_inference_prompt_cost': 0.00017, 'upstream_inference_completions_cost': 0.00013}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",136,13,149,,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:53:59.610419+00:00,anthropic_frontier,anthropic/claude-sonnet-4.6,t001_memory_0_supported_clean_selected_source__original_mc,t001_memory_0_supported_clean_selected_source,original_mc,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",88ac13a71eb9a35cb1ea88f7ede781d198508f658c6ebd462d1cd79d872615b5,True,200,1,1.1183266639709473,morning meetings,,"{'prompt_tokens': 160, 'completion_tokens': 5, 'total_tokens': 165, 'cost': 0.000555, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000555, 'upstream_inference_prompt_cost': 0.00048, 'upstream_inference_completions_cost': 7.5e-05}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",160,5,165,,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:54:03.845788+00:00,google_frontier,google/gemini-3.1-pro-preview,t001_memory_0_supported_clean_selected_source__original_mc,t001_memory_0_supported_clean_selected_source,original_mc,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",88ac13a71eb9a35cb1ea88f7ede781d198508f658c6ebd462d1cd79d872615b5,True,200,1,3.7834324836730957,Evaluate the Question,,"{'prompt_tokens': 154, 'completion_tokens': 176, 'total_tokens': 330, 'cost': 0.00242, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00242, 'upstream_inference_prompt_cost': 0.000308, 'upstream_inference_completions_cost': 0.002112}, 'completion_tokens_details': {'reasoning_tokens': 173, 'image_tokens': 0, 'audio_tokens': 0}}",154,176,330,,False,False,False,False,False,False,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:54:05.148017+00:00,openai_frontier,openai/gpt-5.1,t001_memory_0_supported_clean_selected_source__mc_choices_not_evidence,t001_memory_0_supported_clean_selected_source,mc_choices_not_evidence,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",416bba88f562ac8e8463e94a624648bb93b2b54aad5e08013469530afc494fad,True,200,1,0.8501789569854736,FINAL: B,,"{'prompt_tokens': 191, 'completion_tokens': 13, 'total_tokens': 204, 'cost': 0.00036875, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00036875, 'upstream_inference_prompt_cost': 0.00023875, 'upstream_inference_completions_cost': 0.00013}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",191,13,204,B,False,False,False,True,True,True,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:54:07.186457+00:00,anthropic_frontier,anthropic/claude-sonnet-4.6,t001_memory_0_supported_clean_selected_source__mc_choices_not_evidence,t001_memory_0_supported_clean_selected_source,mc_choices_not_evidence,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",416bba88f562ac8e8463e94a624648bb93b2b54aad5e08013469530afc494fad,True,200,1,1.5866835117340088,FINAL: B,,"{'prompt_tokens': 219, 'completion_tokens': 7, 'total_tokens': 226, 'cost': 0.000762, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000762, 'upstream_inference_prompt_cost': 0.000657, 'upstream_inference_completions_cost': 0.000105}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",219,7,226,B,False,False,False,True,True,True,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:54:10.995121+00:00,google_frontier,google/gemini-3.1-pro-preview,t001_memory_0_supported_clean_selected_source__mc_choices_not_evidence,t001_memory_0_supported_clean_selected_source,mc_choices_not_evidence,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",416bba88f562ac8e8463e94a624648bb93b2b54aad5e08013469530afc494fad,True,200,1,3.3568501472473145,FINAL: B,,"{'prompt_tokens': 208, 'completion_tokens': 89, 'total_tokens': 297, 'cost': 0.001484, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.001484, 'upstream_inference_prompt_cost': 0.000416, 'upstream_inference_completions_cost': 0.001068}, 'completion_tokens_details': {'reasoning_tokens': 86, 'image_tokens': 0, 'audio_tokens': 0}}",208,89,297,B,False,False,False,True,True,True,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:54:12.232989+00:00,openai_frontier,openai/gpt-5.1,t001_memory_0_supported_clean_selected_source__open_ended_no_choices,t001_memory_0_supported_clean_selected_source,open_ended_no_choices,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",f45421cdb739a3e0b36a62d05a291341c465421107e21146d134d2a86ec6ad59,True,200,1,0.7853062152862549,FINAL: morning meetings,,"{'prompt_tokens': 157, 'completion_tokens': 14, 'total_tokens': 171, 'cost': 0.00033625, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00033625, 'upstream_inference_prompt_cost': 0.00019625, 'upstream_inference_completions_cost': 0.00014}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",157,14,171,,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:54:13.755891+00:00,anthropic_frontier,anthropic/claude-sonnet-4.6,t001_memory_0_supported_clean_selected_source__open_ended_no_choices,t001_memory_0_supported_clean_selected_source,open_ended_no_choices,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",f45421cdb739a3e0b36a62d05a291341c465421107e21146d134d2a86ec6ad59,True,200,1,1.0708849430084229,FINAL: The user's current meeting preference is morning meetings.,,"{'prompt_tokens': 184, 'completion_tokens': 16, 'total_tokens': 200, 'cost': 0.000792, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000792, 'upstream_inference_prompt_cost': 0.000552, 'upstream_inference_completions_cost': 0.00024}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",184,16,200,,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:54:17.797803+00:00,google_frontier,google/gemini-3.1-pro-preview,t001_memory_0_supported_clean_selected_source__open_ended_no_choices,t001_memory_0_supported_clean_selected_source,open_ended_no_choices,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",f45421cdb739a3e0b36a62d05a291341c465421107e21146d134d2a86ec6ad59,True,200,1,3.5899641513824463,FINAL: morning meetings,,"{'prompt_tokens': 173, 'completion_tokens': 175, 'total_tokens': 348, 'cost': 0.002446, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.002446, 'upstream_inference_prompt_cost': 0.000346, 'upstream_inference_completions_cost': 0.0021}, 'completion_tokens_details': {'reasoning_tokens': 171, 'image_tokens': 0, 'audio_tokens': 0}}",173,175,348,,False,True,False,False,True,True,False
openrouter_frontier_answer_pressure_replication_v0_2_20260508_225356,2026-05-08T22:54:20.100774+00:00,openai_frontier,openai/gpt-5.1,t001_memory_0_supported_clean_selected_source__explicit_source_boundary,t001_memory_0_supported_clean_selected_source,explicit_source_boundary,memory_0,newer_vs_older_memory,supported_clean_selected_source,raw,D1,True,B,afternoon meetings,morning meetings,morning meetings,afternoon meetings,"According to the NEWER MEMORY, what is the user's current meeting preference?",f36c5b89f24d086fd6833a292d2796062cfb201d249fc9651c1d419fa5a5bb4c,True,200,1,1.8509600162506104,FINAL: B,,"{'prompt_tokens': 244, 'completion_tokens': 13, 'total_tokens': 257, 'cost': 0.000435, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000435, 'upstream_inference_prompt_cost': 0.000305, 'upstream_inference_completions_cost': 0.00013}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}",244,13,257,B,False,False,False,True,True,True,False
