model_short_name,model_id,answer_policy,render_mode,family,n,final_accuracy,supported_n,supported_accuracy,overrefusal_rate,injected_supported_n,supported_injection_failure_rate,unsupported_n,unsupported_abstention_rate,unsupported_hallucination_rate,distractor_rate,invalid_rate,parse_ok_rate,A_rate,B_rate,INSUFFICIENT_rate
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,current_vs_archived_policy,220.0,1.0,100.0,1.0,0.0,80.0,0.0,120.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,current_vs_old_software_docs,220.0,1.0,100.0,1.0,0.0,80.0,0.0,120.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,newer_vs_older_memory,220.0,1.0,100.0,1.0,0.0,80.0,0.0,120.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,current_vs_archived_policy,220.0,0.6681818181818182,100.0,0.95,0.0,80.0,0.0625,120.0,0.43333333333333335,0.5666666666666667,0.16818181818181818,0.0,1.0,0.4681818181818182,0.29545454545454547,0.23636363636363636
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,current_vs_old_software_docs,220.0,0.6772727272727272,100.0,0.97,0.0,80.0,0.0375,120.0,0.43333333333333335,0.5666666666666667,0.20454545454545456,0.0,1.0,0.4318181818181818,0.33181818181818185,0.23636363636363636
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,newer_vs_older_memory,220.0,0.7454545454545455,100.0,0.93,0.0,80.0,0.0875,120.0,0.5916666666666667,0.4083333333333333,0.14545454545454545,0.0,1.0,0.36818181818181817,0.3090909090909091,0.32272727272727275
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,sanitized,current_vs_archived_policy,220.0,0.8,100.0,1.0,0.0,80.0,0.0,120.0,0.6333333333333333,0.36666666666666664,0.07727272727272727,0.0,1.0,0.38181818181818183,0.2727272727272727,0.34545454545454546
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,sanitized,current_vs_old_software_docs,220.0,0.7363636363636363,100.0,1.0,0.0,80.0,0.0,120.0,0.5166666666666667,0.48333333333333334,0.17272727272727273,0.0,1.0,0.36363636363636365,0.35454545454545455,0.2818181818181818
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,sanitized,newer_vs_older_memory,220.0,0.8681818181818182,100.0,1.0,0.0,80.0,0.0,120.0,0.7583333333333333,0.24166666666666667,0.03636363636363636,0.0,1.0,0.31363636363636366,0.2727272727272727,0.41363636363636364
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,fact_only,current_vs_archived_policy,220.0,1.0,100.0,1.0,0.0,80.0,0.0,120.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,fact_only,current_vs_old_software_docs,220.0,1.0,100.0,1.0,0.0,80.0,0.0,120.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,fact_only,newer_vs_older_memory,220.0,1.0,100.0,1.0,0.0,80.0,0.0,120.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,raw,current_vs_archived_policy,220.0,0.7272727272727273,100.0,0.91,0.0,80.0,0.1125,120.0,0.575,0.425,0.1590909090909091,0.0,1.0,0.39090909090909093,0.29545454545454547,0.31363636363636366
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,quarantined_answer,raw,current_vs_old_software_docs,220.0,0.7136363636363636,100.0,0.94,0.0,80.0,0.075,120.0,0.525,0.475,0.15454545454545454,0.0,1.0,0.37727272727272726,0.33636363636363636,0.2863636363636364
