model_family,model_id,prompt_policy,n,ok_rate,semantic_accuracy,admissibility_accuracy,format_compliance_rate,answer_attempt_on_insufficient_rate,insufficient_like_rate,mean_latency_seconds
anthropic_frontier,anthropic/claude-sonnet-4.6,explicit_source_boundary,24,1.0,1.0,1.0,1.0,0.0,0.75,2.1685225566228232
anthropic_frontier,anthropic/claude-sonnet-4.6,mc_choices_not_evidence,24,1.0,0.7916666666666666,0.7916666666666666,0.9583333333333334,0.20833333333333334,0.7083333333333334,2.527627170085907
anthropic_frontier,anthropic/claude-sonnet-4.6,open_ended_no_choices,24,1.0,0.9166666666666666,0.9166666666666666,0.75,0.08333333333333333,0.7083333333333334,2.255668133497238
anthropic_frontier,anthropic/claude-sonnet-4.6,original_mc,24,1.0,0.25,0.25,0.0,0.75,0.0,1.2672827144463856
google_frontier,google/gemini-3.1-pro-preview,explicit_source_boundary,24,1.0,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.25,0.5,3.40957639614741
google_frontier,google/gemini-3.1-pro-preview,mc_choices_not_evidence,24,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.375,0.375,4.024575491746266
google_frontier,google/gemini-3.1-pro-preview,open_ended_no_choices,24,1.0,0.4166666666666667,0.4166666666666667,0.2916666666666667,0.4166666666666667,0.2916666666666667,4.0146307448546095
google_frontier,google/gemini-3.1-pro-preview,original_mc,24,1.0,0.25,0.25,0.9583333333333334,0.75,0.0,3.3822801411151886
openai_frontier,openai/gpt-5.1,explicit_source_boundary,24,1.0,1.0,1.0,1.0,0.0,0.75,1.0143292844295502
openai_frontier,openai/gpt-5.1,mc_choices_not_evidence,24,1.0,0.9583333333333334,0.9583333333333334,1.0,0.041666666666666664,0.7083333333333334,0.9756370584170023
openai_frontier,openai/gpt-5.1,open_ended_no_choices,24,1.0,0.875,0.875,0.625,0.125,0.625,0.9224366744359335
openai_frontier,openai/gpt-5.1,original_mc,24,1.0,0.25,0.25,0.0,0.75,0.0,1.012335628271103
