model_family,model_id,is_supported,prompt_policy,n,semantic_accuracy,admissibility_accuracy,format_compliance_rate,answer_attempt_on_insufficient_rate,insufficient_like_rate
anthropic_frontier,anthropic/claude-sonnet-4.6,False,explicit_source_boundary,18,1.0,1.0,1.0,0.0,1.0
anthropic_frontier,anthropic/claude-sonnet-4.6,False,mc_choices_not_evidence,18,0.7222222222222222,0.7222222222222222,0.9444444444444444,0.2777777777777778,0.9444444444444444
anthropic_frontier,anthropic/claude-sonnet-4.6,False,open_ended_no_choices,18,0.8888888888888888,0.8888888888888888,1.0,0.1111111111111111,0.9444444444444444
anthropic_frontier,anthropic/claude-sonnet-4.6,False,original_mc,18,0.0,0.0,0.0,1.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,True,explicit_source_boundary,6,1.0,1.0,1.0,0.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,True,mc_choices_not_evidence,6,1.0,1.0,1.0,0.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,True,open_ended_no_choices,6,1.0,1.0,0.0,0.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,True,original_mc,6,1.0,1.0,0.0,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,False,explicit_source_boundary,18,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
google_frontier,google/gemini-3.1-pro-preview,False,mc_choices_not_evidence,18,0.5,0.5,0.5,0.5,0.5
google_frontier,google/gemini-3.1-pro-preview,False,open_ended_no_choices,18,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.5555555555555556,0.3888888888888889
google_frontier,google/gemini-3.1-pro-preview,False,original_mc,18,0.0,0.0,0.9444444444444444,1.0,0.0
google_frontier,google/gemini-3.1-pro-preview,True,explicit_source_boundary,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,True,mc_choices_not_evidence,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,True,open_ended_no_choices,6,0.5,0.5,0.0,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,True,original_mc,6,1.0,1.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,False,explicit_source_boundary,18,1.0,1.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,False,mc_choices_not_evidence,18,0.9444444444444444,0.9444444444444444,1.0,0.05555555555555555,0.9444444444444444
openai_frontier,openai/gpt-5.1,False,open_ended_no_choices,18,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334
openai_frontier,openai/gpt-5.1,False,original_mc,18,0.0,0.0,0.0,1.0,0.0
openai_frontier,openai/gpt-5.1,True,explicit_source_boundary,6,1.0,1.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,True,mc_choices_not_evidence,6,1.0,1.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,True,open_ended_no_choices,6,1.0,1.0,0.0,0.0,0.0
openai_frontier,openai/gpt-5.1,True,original_mc,6,1.0,1.0,0.0,0.0,0.0
