model_short_name,model_id,answer_policy,render_mode,metric,k,n,estimate,ci95_low,ci95_high
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,final_accuracy,660,660,1.0,0.9942132887760303,1.0
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,supported_accuracy,300,300,1.0,0.9873570287754538,0.9999999999999998
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,supported_injection_failure_rate,0,240,0.0,0.0,0.015753919941558815
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,unsupported_abstention_rate,360,360,1.0,0.9894419431113063,0.9999999999999999
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,unsupported_hallucination_rate,0,360,0.0,0.0,0.010558056888693507
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,overrefusal_rate,0,300,0.0,8.673617379884035e-19,0.012642971224546034
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,distractor_rate,0,660,0.0,0.0,0.005786711223969693
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,invalid_rate,0,660,0.0,0.0,0.005786711223969693
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,fact_only,parse_ok_rate,660,660,1.0,0.9942132887760303,1.0
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,final_accuracy,460,660,0.696969696969697,0.6608517602741102,0.7308080201528109
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,supported_accuracy,285,300,0.95,0.9191529665272558,0.9694683593706526
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,supported_injection_failure_rate,15,240,0.0625,0.03823811719647034,0.10054656275239364
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,unsupported_abstention_rate,175,360,0.4861111111111111,0.43490116345061414,0.5376143381296273
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,unsupported_hallucination_rate,185,360,0.5138888888888888,0.4623856618703726,0.5650988365493859
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,direct_answer,raw,overrefusal_rate,0,300,0.0,8.673617379884035e-19,0.012642971224546034
